place_id,author_name,language,original_language,rating,relative_time_description,text,time,translated,food,service,atmosphere,to_be_removed
,,,,,,cold guacamole disinterested order tracking shabby lighting,,,Negative,Negative,Negative,
,,,,,,clumsy pickup service unwelcoming setting,,,,Negative,Negative,
,,,,,,disgusting appetizer unhelpful guide too loud acoustics,,,Negative,Negative,Negative,
,,,,,,rude clerk bland background,,,,Negative,Negative,
,,,,,,inadequate sausages dismissive assistant noisy aura,,,Negative,Negative,Negative,
,,,,,,unprofessional team member uninspiring ambience,,,,Negative,Negative,
,,,,,,mediocre quiche unreliable clerk unwelcoming lighting,,,Negative,Negative,Negative,
,,,,,,inefficient busboy boring ambiance,,,,Negative,Negative,
,,,,,,flavorless gravy cold online ordering unfriendly ambience,,,Negative,Negative,Negative,
,,,,,,distracting online ordering chaotic background,,,,Negative,Negative,
,,,,,,unhealthy fish and chips hasty e-commerce shabby indoor,,,Negative,Negative,Negative,
,,,,,,unpleasant clerk unbalanced hospitality,,,,Negative,Negative,
,,,,,,disgusting spread unhelpful account manager depressing energy,,,Negative,Negative,Negative,
,,,,,,dismissive chef noisy space,,,,Negative,Negative,
,,,,,,over-sweetened lunch unaccommodating team harsh style,,,Negative,Negative,Negative,
,,,,,,unpleasant staff awkward temperature,,,,Negative,Negative,
,,,,,,lumpy ice cream unpleasant live chat stressful feel,,,Negative,Negative,Negative,
,,,,,,unreliable bellboy unfriendly coziness,,,,Negative,Negative,
,,,,,,lumpy ice cream unprofessional phone ordering stressful interior,,,Negative,Negative,Negative,
,,,,,,hostile online ordering harsh lighting surroundings,,,,Negative,Negative,
,,,,,,slimy main course hostile staff cold furnishing,,,Negative,Negative,Negative,
,,,,,,untrustworthy delivery service harsh lighting coziness,,,,Negative,Negative,
,,,,,,gummy chips overbearing pickup service disorienting feel,,,Negative,Negative,Negative,
,,,,,,distracting order taker stuffy air,,,,Negative,Negative,
,,,,,,greasy main course impolite waitstaff soulless mood,,,Negative,Negative,Negative,
,,,,,,awkward phone ordering unromantic surroundings,,,,Negative,Negative,
,,,,,,bitter concoction slow delivery person uninspiring structure,,,Negative,Negative,Negative,
,,,,,,irritating staff overcrowded mood,,,,Negative,Negative,
,,,,,,greasy lasagna overwhelmed automated service unpleasant coziness,,,Negative,Negative,Negative,
,,,,,,unhelpful support overcrowded tone,,,,Negative,Negative,
,,,,,,slimy drink unfriendly chatbot isolated tone,,,Negative,Negative,Negative,
,,,,,,unskilled support hotline overcrowded comfort,,,,Negative,Negative,
,,,,,,spoiled vegetables disorganized delivery service unwelcoming comfort,,,Negative,Negative,Negative,
,,,,,,unfriendly bartender chaotic outdoor,,,,Negative,Negative,
,,,,,,chewy appetizer irritating customer care uncomfortable temperature,,,Negative,Negative,Negative,
,,,,,,poor service desk overcrowded vibration,,,,Negative,Negative,
,,,,,,salty pasta salad overwhelmed bartender cold air,,,Negative,Negative,Negative,
,,,,,,rude waitress unappealing coziness,,,,Negative,Negative,
,,,,,,greasy meal cold security awkward style,,,Negative,Negative,Negative,
,,,,,,inadequate attendant stuffy temperature,,,,Negative,Negative,
,,,,,,unrefined tea annoying helper unsophisticated air,,,Negative,Negative,Negative,
,,,,,,incompetent team member unwelcoming design,,,,Negative,Negative,
,,,,,,rotten cake disinterested telephonic service unbalanced hospitality,,,Negative,Negative,Negative,
,,,,,,unreliable waiter cluttered coziness,,,,Negative,Negative,
,,,,,,unrefined main course disengaged assistant unfriendly vibe,,,Negative,Negative,Negative,
,,,,,,inattentive waitperson unpleasant outdoor,,,,Negative,Negative,
,,,,,,greasy fruit unpleasant caretaker uncomfortable tone,,,Negative,Negative,Negative,
,,,,,,arrogant live chat unrelaxed comfort,,,,Negative,Negative,
,,,,,,greasy bread untrustworthy phone ordering unpleasant air,,,Negative,Negative,Negative,
,,,,,,impolite attendant chaotic sight,,,,Negative,Negative,
,,,,,,underseasoned feast disrespectful delivery service soulless temperature,,,Negative,Negative,Negative,
,,,,,,impolite manager noisy vibe,,,,Negative,Negative,
,,,,,,mediocre steak clumsy helper unpolished space,,,Negative,Negative,Negative,
,,,,,,irritating service representative disorienting space,,,,Negative,Negative,
,,,,,,salty side dish unskilled caregiver unrelaxed indoor,,,Negative,Negative,Negative,
,,,,,,awkward cleaner unbalanced sound,,,,Negative,Negative,
,,,,,,gummy pie unaccommodating housekeeper unrelaxed decor,,,Negative,Negative,Negative,
,,,,,,unhelpful hostess unpleasant outdoor,,,,Negative,Negative,
,,,,,,lumpy dish hasty valet stale coziness,,,Negative,Negative,Negative,
,,,,,,unaware technician unsophisticated room,,,,Negative,Negative,
,,,,,,overly greasy steak clumsy help desk uncomfortable environment,,,Negative,Negative,Negative,
,,,,,,hasty online ordering awkward outlook,,,,Negative,Negative,
,,,,,,too salty course incompetent support hotline stale tone,,,Negative,Negative,Negative,
,,,,,,hasty live chat soulless design,,,,Negative,Negative,
,,,,,,stale tofu unskilled delivery service gloomy background,,,Negative,Negative,Negative,
,,,,,,inadequate call center dull space,,,,Negative,Negative,
,,,,,,inadequate entree untrustworthy order processing boring interior,,,Negative,Negative,Negative,
,,,,,,arrogant server uninviting charm,,,,Negative,Negative,
,,,,,,unflavorful waffles nonchalant receptionist cold furnishing,,,Negative,Negative,Negative,
,,,,,,unprofessional helper uncomfortable setting,,,,Negative,Negative,
,,,,,,tough pie unhelpful automated service chaotic feel,,,Negative,Negative,Negative,
,,,,,,impolite waitress shabby vibe,,,,Negative,Negative,
,,,,,,bitter fish unpleasant concierge oppressive vibration,,,Negative,Negative,Negative,
,,,,,,rude phone ordering cold space,,,,Negative,Negative,
,,,,,,spoiled soup hasty customer care disagreeable feelings,,,Negative,Negative,Negative,
,,,,,,distracting help desk unsightly room,,,,Negative,Negative,
,,,,,,bland waffles disengaged support hotline uncomfortable space,,,Negative,Negative,Negative,
,,,,,,careless pickup service gloomy outlook,,,,Negative,Negative,
,,,,,,soggy treat nonchalant pickup service awkward setting,,,Negative,Negative,Negative,
,,,,,,untrustworthy reservation stuffy space,,,,Negative,Negative,
,,,,,,slimy delicacy unhelpful clerk dull feel,,,Negative,Negative,Negative,
,,,,,,unskilled delivery service unsophisticated acoustics,,,,Negative,Negative,
,,,,,,unpleasant banquet dismissive concierge chaotic feel,,,Negative,Negative,Negative,
,,,,,,disrespectful technician cold setting,,,,Negative,Negative,
,,,,,,soggy treat hasty customer inquiry overcrowded setting,,,Negative,Negative,Negative,
,,,,,,unaware remote service shabby charm,,,,Negative,Negative,
,,,,,,unpleasant pasta salad overwhelmed housekeeper unwelcoming surroundings,,,Negative,Negative,Negative,
,,,,,,poor team member noisy coziness,,,,Negative,Negative,
,,,,,,disgusting rice distracting host awkward mood,,,Negative,Negative,Negative,
,,,,,,irritating order taker unbalanced style,,,,Negative,Negative,
,,,,,,unappetizing quiche impolite pickup service unbalanced sight,,,Negative,Negative,Negative,
